Garder/Exclure,Nb de hits (à fin févr. 2026),disaron:nom_old,disaron:nom,dc:title,disaron:Complement_titre,disaron:chapeau,disaron:Auteur,disaron:categorie,disaron:collection,disaron:sous_collection,disaron:theme,disaron:annees_reference,disaron:descripteur,disaron:niveau_geographique,disaron:Date_premiere_publication,disaron:date_derniere_publication,ecm:versionLabel,disaron:Numerotation,url,nb de fichiers,noms des fichiers,urls des fichiers,disaron:date_modification,disaron:donnees,trouvé Estelle ?,lost,collection,themes,themes_codes,theme_principal,OrdreEstelle,THEME Agreste2.0,Collection Agreste 2.0,Sous-Collection Agreste 2.0,Fichiers manquants
Garder,1486,Ana109,Ana109,"L’enseignement technique agricole : diplômes, insertions et perspectives d’emploi",,"Premier volet de la prospective sur l’évolution des métiers, des qualifications et des emplois liés à l’enseignement technique agricole, cette synthèse présente les principales tendances identifiées : qui forme-t-on, à quoi et pour quoi ?","[{nom_auteur=Mahé, prenom_auteur=Muriel, Structure=SSP. Centre d’études et de prospective (CEP)}]",NATIONAL,ANALYSE,,AGROFORM|AGROEMP|ANASOC,2017,,FRANCE,2017/12/20 00:00,2020/02/04 23:19,0.1,109,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana109/detail/,,,,2017/12/20 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1091712.pdf\""}]",,0,,"Formation|Population agricole, emploi|Aides, PAC, Politiques publiques",AGROFORM|POPAGREMP|AIDPOLITIQ,Formation,224,Études & prospective,Politiques publiques,Analyse,
Garder,41,Ana11,Ana11,Les enjeux de la régulation du secteur laitier,,"La crise profonde que traverse actuellement le secteur laitier tranche avec l’euphorie de l’année 2007. L’analyse structurelle de la filière, fondée essentiellement sur la grille d’analyse de l’économie publique, permet d’identifier, parmi les particularités de ce secteur, celles qui justifient la mise en place de régulations.",,NATIONAL,ANALYSE,,LAIT|IAAFIL|ANAECO,2009,,FRANCE,2009/07/01 00:00,,0.1,11,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana11/detail/,,,,2009/07/01 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2019-03-03T00:00:00.000Z\""\,\""Fichier\"":\""Ana11.pdf\""}]",,0,,"Bovins, ovins, caprins, lait|Marchés, filières|Aides, PAC, Politiques publiques",CHEPTLAIT|IAAFIL|AIDPOLITIQ,"Bovins, ovins, caprins, lait",1947,Études & prospective,Politiques publiques,Analyse,
Garder,33,Ana11-en,Ana11-en,Regulations of the dairy sector: what’s at stake?,,"The profound crisis that the dairy sector is currently going through is in sharp contrast to the euphoria of 2007. Structural analysis of the sector, based largely on the criteria used by public economics, enables us to identify, among the specific features of the industry, those that justify the implementation of regulations. The characteristics of milk, a perishable, bulky product, and the concentration of processing factories mean that the relationship between production and primary processing is more akin to a captive market than to a competitive market. This market failure has major implications for both  price formation and the distribution of value-added. Alongside this, examination of the diversity, evolution and location of the farming systems highlights a second market failure, linked to environmental  and social external costs. How can these two failures, and the interactions between them, be corrected coherently? This is the initial central issue for the invention of modes of regulation that bring together  markets, contracts and public policy in the future.",,PUBENGL,ANALYSE,,LAIT|IAAFIL|ANAECO,2009,,FRANCE,2009/07/01 14:00,2020/11/26 17:26,0.1,11-en,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana11-en/detail/,,,,2009/07/01 14:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-11-26T16:18:52.305Z\""\,\""Fichier\"":\""Ana11Eng.pdf\""}]",,0,,"Bovins, ovins, caprins, lait|Marchés, filières|Aides, PAC, Politiques publiques",CHEPTLAIT|IAAFIL|AIDPOLITIQ,"Bovins, ovins, caprins, lait",1948,Études & prospective,Politiques publiques,Analyse,
Garder,642,Ana110,Ana110,"Métiers, qualifications et emplois liés à l’enseignement agricole : quatre scénarios d’ici 2030",,"Second volet de la prospective conduite par la DGER et le CEP, cette note décrit quatre portraits de la France en 2030, avec leurs conséquences sur les métiers et compétences dans les principaux secteurs d’emploi des diplômés de l’enseignement technique agricole.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",NATIONAL,ANALYSE,,PROSP|AGROFORM|AGROEMP,2017,,FRANCE,2017/12/20 00:00,2020/02/04 23:19,0.1,110,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana110/detail/,,,,2017/12/20 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1101712.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Formation|Population agricole, emploi",AIDPOLITIQ|AGROFORM|POPAGREMP,"Population agricole, emploi",2664,Études & prospective,Prospective,Analyse,
Garder,1452,Ana111,Ana111,MOND’Alim 2030 : les acteurs de la mondialisation des systèmes alimentaires,,"S’appuyant sur le chapitre 5 de l’ouvrage MOND’Alim 2030, rédigé par le Centre d’études et de prospective, cette Analyse présente les grandes évolutions et les stratégies des acteurs de la mondialisation des systèmes alimentaires.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",NATIONAL,ANALYSE,,COMPINT|AGROALIM|ALIMSECU,2018,,FRANCE,2018/02/05 00:00,2020/02/04 23:19,0.1,111,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana111/detail/,,,,2018/02/05 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1111801.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)|Santé, sécurité alimentaire",AIDPOLITIQ|IAA|SANTALIM,"Aides, PAC, Politiques publiques",1010,Études & prospective,Prospective,Analyse,
Garder,1094,Ana111-en,Ana111-en,MOND’Alim 2030 : the actors of food system globalization,,"The MOND’Alim 2030 exercise led by the Centre for Studies and Strategic Foresight is aimed at characterizing the current phase in globalization and documenting the main dynamics at work. Food systems result from multiple interactions between private and public actors: national governments, international organizations, multinational companies, NGOs, organized civil society, among others. The present Analysis isolates three main trends involving those actors: their increasing number, the growing complexity of their interactions and the hybridization of their statuses.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",PUBENGL,ANALYSE,,COMPINT|AGROALIM|ALIMSECU,2018,,FRANCE,2018/02/05 13:00,2020/12/03 16:52,0.1,111,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana111-en/detail/,,,,2018/02/05 13:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-12-03T15:18:12.155Z\""\,\""Fichier\"":\""Ana111Eng.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)|Santé, sécurité alimentaire",AIDPOLITIQ|IAA|SANTALIM,"Aides, PAC, Politiques publiques",1011,Études & prospective,Prospective,Analyse,
Garder,308,Ana112,Ana112,MOND’Alim 2030 : transformation des risques et des problèmes publics,,"Cette Analyse, fondée sur le chapitre 4 de l’ouvrage MOND’Alim 2030 publié par le Centre d’études et de prospective, présente les risques et problèmes publics au coeur de la mondialisation des systèmes alimentaires.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",NATIONAL,ANALYSE,,COMPINT|AGROALIM|ANAECO,2018,,FRANCE,2018/02/16 00:00,2020/02/04 23:19,0.1,112,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana112/detail/,,,,2018/02/16 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1121802.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)",AIDPOLITIQ|IAA,"Aides, PAC, Politiques publiques",1012,Études & prospective,Prospective,Analyse,
Garder,65,Ana112-en,Ana112-en,MOND’Alim 2030 : the transformation of public risks and issues,,"One chapter in the publication MOND'Alim 2030 produced by the Centre for Research and Strategic Foresight (CEP) is devoted to public risks and issues and the globalization of their management. The present note describes the main components of this, focusing in particular on the health, economic, environmental and geopolitical domains. It shows how globalization is changing risk regimes (emergence of new risks, systemic effects, mitigation, and so on) and how food systems are adjusting. It also underscores the fact that global governance of those risks contains tensions between unilateral strategies and collective management.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",PUBENGL,ANALYSE,,COMPINT|AGROALIM|ANAECO,2018,,FRANCE,2018/02/16 13:00,2020/12/03 16:52,0.1,112,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana112-en/detail/,,,,2018/02/16 13:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-12-03T15:45:48.302Z\""\,\""Fichier\"":\""Ana112Eng.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)",AIDPOLITIQ|IAA,"Aides, PAC, Politiques publiques",1013,Études & prospective,Prospective,Analyse,
Garder,1490,Ana113,Ana113,"Informations, connaissances, innovations : l’autre mondialisation des systèmes alimentaires",,"S’appuyant sur le chapitre 3 de l’ouvrage MOND’Alim 2030 rédigé par le Centre d’études et de prospective, cette note présente les grandes évolutions des systèmes alimentaires en matière de circulation de l’information, de R&D et de diffusion des innovations.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",NATIONAL,ANALYSE,,PROSP|COMPINT|ALIMSECU,2018,,FRANCE,2018/03/09 00:00,2020/02/04 23:04,0.1,113,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana113/detail/,,,,2018/03/09 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1131802.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Santé, sécurité alimentaire",AIDPOLITIQ|SANTALIM,"Santé, sécurité alimentaire",2688,Études & prospective,Prospective,Analyse,
Garder,162,Ana113-en,Ana113-en,"Information, knowledge, innovation: the other side of food system globalization",,"The MOND’Alim 2030 exercise led by the Centre for Studies and Strategic Foresight (CEP) looks at the current phase of food system globalization and documents the core dynamics at work. One of its chapters is devoted to the circulation of information, the production of knowledge and the dissemination of innovations. The present note identifies the broad structural issues and formulates some hypotheses for the future: growing international integration of information systems, a preponderance of global corporations in R&D, globalization of ideas and the renewal of agricultural paradigms.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",PUBENGL,ANALYSE,,PROSP|COMPINT|ALIMSECU,2018,,FRANCE,2018/03/09 13:00,2020/12/03 16:52,0.1,113,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana113-en/detail/,,,,2018/03/09 13:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-12-03T15:48:57.503Z\""\,\""Fichier\"":\""Ana113Eng.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Santé, sécurité alimentaire",AIDPOLITIQ|SANTALIM,"Santé, sécurité alimentaire",2689,Études & prospective,Prospective,Analyse,
Garder,1513,Ana114,Ana114,L’agriculture ukrainienne : évolutions et principaux enjeux,,"Cette note présente les principaux défis et évolutions de l’agriculture ukrainienne, devenue un acteur de premier plan en matière de céréales et oléagineux.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",NATIONAL,ANALYSE,,COMPINT|TAILLE|STATUT,2018,,FRANCE,2018/03/28 00:00,2020/02/04 23:19,0.1,114,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana114/detail/,,,,2018/03/28 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1141803.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Exploitations, spécialisation",AIDPOLITIQ|EXPLOITSPEC,"Exploitations, spécialisation",1054,Études & prospective,Veille,Analyse,
Garder,349,Ana115,Ana115,MOND’Alim 2030 : gouvernance et régulation de la mondialisation des systèmes alimentaires,,"S’appuyant sur le chapitre 6 de l’ouvrage MOND’Alim 2030 rédigé par le Centre d’études et de prospective, cette note présente les principales évolutions des modes de gouvernance et de régulation des systèmes alimentaires mondiaux.","[{nom_auteur=(CEP), prenom_auteur=Centre d’études et de prospective , Structure=SSP.}]",NATIONAL,ANALYSE,,COMPINT|AGROALIM|ANASOC,2018,,FRANCE,2018/04/11 00:00,2020/02/04 23:19,0.1,115,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/Ana115/detail/,,,,2018/04/11 00:00,"[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2020-02-04T00:00:00.000Z\""\,\""Fichier\"":\""analyse1151804.pdf\""}]",,0,,"Aides, PAC, Politiques publiques|Industries agro-alimentaires (IAA)",AIDPOLITIQ|IAA,"Aides, PAC, Politiques publiques",1014,Études & prospective,Prospective,Analyse,
