disaron:nom,dc:title,disaron:Complement_titre,disaron:chapeau,disaron:Auteur,disaron:categorie,disaron:sous_collection,disaron:theme,disaron:annees_reference,disaron:descripteur,disaron:niveau_geographique,disaron:Date_premiere_publication,disaron:date_derniere_publication,ecm:versionLabel,disaron:date_modification,disaron:Numerotation,url,nb de fichiers,noms des fichiers,urls des fichiers,disaron:donnees,trouvé Estelle ?,A
IraAbo22116,"Bovins (Version modifiée). En août 2022, hausse des abattages de vaches laitières et de génisses","Abattages en août 2022, production-consommation-commerce extérieur en juillet 2022","En août 2022, conséquence de la sécheresse et des canicules, les abattages de vaches laitières et de génisses augmentent sur un an. L’offre limitée en France et en Europe contribue à soutenir les cours à des niveaux élevés. En juillet, les exportations de broutards reculent sur un an. Les coûts des aliments pour bovins sont toujours orientés à la hausse. Sur un an, les importations de viande bovine augmentent alors que les exportations reculent, creusant le déficit commercial. La consommation de viande augmente légèrement.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2022,BOVIN,FRANCE,2022/09/30 12:00,2022/09/30 12:00,0.3,2022/10/05 09:33,2022-116,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo22116/detail/,1,"[""2022_116_InforapBovinsV2.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22116/2022_116_InforapBovinsV2.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2022-10-05T07:33:08.889Z\""\,\""Fichier\"":\""2022_116_InforapBovinsV2.pdf\""}]",COMPLEMENT-Irap,
IraAbo22152,Bovins. Des abattages de bovins en repli en octobre 2022 et des cours à des niveaux élevés,"Abattages en octobre 2022, production-consommation-commerce extérieur en septembre 2022","En octobre 2022, les abattages de bovins se replient pour le 10ème mois consécutif. L’offre limitée en France et en Europe contribue à soutenir les cours à des niveaux élevés, tant pour les animaux finis que pour les broutards. En septembre, les exportations de broutards reculent sur un an. Les coûts des aliments pour gros bovins restent orientés à la hausse. Sur un an, les importations de viande bovine augmentent alors que les exportations reculent, continuant à creuser le déficit commercial en volume et valeur.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2022,BOVIN,FRANCE,2022/11/30 00:00,2022/11/30 14:25,0.2,2022/11/30 00:00,2022-152,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo22152/detail/,1,"[""2022_152_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo22152/2022_152_InforapBovins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2022-11-30T07:55:03.983Z\""\,\""Fichier\"":\""2022_152_InforapBovins.pdf\""}]",COMPLEMENT-Irap,
IraAbo2330,"Bovins. En février, nouveau repli des abattages de bovins","Abattages en février 2023, production-consommation-commerce extérieur en janvier 2023","En février 2023, les abattages de bovins continuent de se replier par rapport au niveau bas de 2022. L’offre limitée sur les marchés contribue à soutenir les cours à des niveaux élevés, tant pour les animaux finis que pour les broutards. En janvier 2023, les exportations de broutards sont en légère hausse. Les coûts des aliments pour gros bovins restent élevés. Dans un contexte de hausse de la consommation, les importations de viande bovine augmentent sur un an tandis que les exportations reculent, continuant à creuser le déficit commercial.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2023,BOVIN,FRANCE,2023/03/31 10:00,2023/03/31 10:00,0.1,2023/03/31 10:00,2023-30,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo2330/detail/,1,"[""2023_30_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo2330/2023_30_InforapBovins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2023-03-30T13:50:57.063Z\""\,\""Fichier\"":\""2023_30_InforapBovins.pdf\""}]",COMPLEMENT-Irap,
IraAbo2373,"Bovins. En mai 2023, accentuation du repli des abattages de bovins","Abattages en mai 2023, production-consommation-commerce extérieur en avril 2023","En mai 2023, le repli des abattages de bovins se poursuit et s’accentue sur un an. Toutes les catégories d’animaux sont concernées notamment les vaches. Dans un contexte de coûts de production élevés, les cours des bovins restent soutenus, mais se rapprochent de leurs niveaux de 2022. En avril 2023, les exportations de broutards sont en léger repli. Dans un contexte de baisse de la consommation, les échanges de viande bovine reculent sur un an. Le déficit commercial se creuse en volume.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2023,BOVIN,FRANCE,2023/06/29 10:00,2023/06/29 10:00,0.1,2023/06/29 10:00,2023-73,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo2373/detail/,1,"[""2023_73_InforapBovins.pdf""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo2373/2023_73_InforapBovins.pdf""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2023-06-28T09:23:32.510Z\""\,\""Fichier\"":\""2023_73_InforapBovins.pdf\""}]",COMPLEMENT-Irap,
IraAbo24100,"Bovins. En juillet, maintien des abattages de gros bovins","Abattages en juin- juillet 2024, production-consommation-commerce extérieur en juin 2024","En juillet, les abattages de gros bovins restent au niveau bas de 2023. Les abattages de gros bovins mâles augmentent nettement tandis que les abattages de vaches et de veaux de boucherie diminuent. Le cours de la vache laitière poursuit sa progression et le cours du veau de boucherie dépasse son niveau de l’an dernier. En juin, les prix des aliments pour gros bovins sont stables par rapport à mai, mais enregistrent une nette baisse sur un an. La consommation de viande bovine se replie sur un an. Le déficit du commerce extérieur de viande bovine diminue du fait d’une hausse des exportations et d’une baisse des importations sur un an. Les exportations de broutards et de veaux d’élevage reculent nettement. Seules les exportations de génisses progressent sur un an.","[{nom_auteur=Boulangeot, prenom_auteur=Cécile, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2024,BOVIN,FRANCE,2024/08/30 10:00,2024/08/30 10:00,0.1,2024/08/30 10:00,2024-100,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo24100/detail/,2,"[""2024_100_InforapBovins.pdf"", ""2024_100_DonneesBovins.xlsx""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo24100/2024_100_InforapBovins.pdf"", ""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo24100/2024_100_DonneesBovins.xlsx""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2024-08-29T06:22:55.786Z\""\,\""Fichier\"":\""2024_100_InforapBovins.pdf\""},{\""Type_de_fichier\"":\""5_FAS\""\,\""Date_chargement\"":\""2024-08-29T06:22:55.786Z\""\,\""Fichier\"":\""2024_100_DonneesBovins.xlsx\""}]",COMPLEMENT-Irap,
IraAbo24165,"Porcins. En novembre, baisse des abattages de porcins","Abattages en novembre 2024, production-consommation-commerce extérieur en octobre 2024","En novembre 2024, le nombre de porcins abattus en France diminue de 1,6 % sur un an et de 3,7 % par rapport à la moyenne 2019-2023. Les porcs charcutiers s’alourdissent, compensant en partie la baisse de production. Le cours moyen du porc reste supérieur à celui des cinq dernières années. En octobre 2024, les importations et les exportations augmentent sensiblement. En hausse de 3,8 % par rapport au niveau bas de 2023, la consommation de viande de porc retrouve quasiment son niveau moyen des cinq dernières années.","[{nom_auteur=Ugliera, prenom_auteur=Christelle, Structure=SSP}]",NATIONAL,INFANIM,PORC,2024,PORCIN,FRANCE,2024/12/20 10:00,2024/12/20 10:00,0.1,2024/12/20 10:00,2024-165,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo24165/detail/,2,"[""2024_165_InforapPorcins.pdf"", ""2024_165_DonneesPorcins.xlsx""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo24165/2024_165_InforapPorcins.pdf"", ""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo24165/2024_165_DonneesPorcins.xlsx""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2024-12-19T16:09:06.904Z\""\,\""Fichier\"":\""2024_165_InforapPorcins.pdf\""},{\""Type_de_fichier\"":\""5_FAS\""\,\""Date_chargement\"":\""2024-12-19T16:09:06.904Z\""\,\""Fichier\"":\""2024_165_DonneesPorcins.xlsx\""}]",COMPLEMENT-Irap,
IraAbo25160,"Porcins. En octobre, nouvelle hausse des abattages de porcs sur un an","Abattages en août 2025, production-consommation-commerce extérieur en juillet 2025","En octobre 2025, les abattages de porcs dépassent assez nettement le niveau de 2024 pour retrouver celui de la période 2020-2024. En repli saisonnier, le prix moyen du porc passe en dessous du prix moyen de la période 2020-2024. En septembre 2025, la consommation de viande de porc reste supérieure à celle de 2024. Le déficit extérieur de viande porcine se creuse légèrement en volume et en valeur.","[{nom_auteur=Lapuyade, prenom_auteur=Marie-Anne, Structure=SSP}]",NATIONAL,INFANIM,PORC,2025,PORCIN,FRANCE,2025/11/28 10:00,2025/11/28 10:00,0.1,2025/11/28 10:00,2025-160,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo25160/detail/,2,"[""2025_160-InforapPorcins.pdf"", ""2025_160-DonneesPorcins.xlsx""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo25160/2025_160-InforapPorcins.pdf"", ""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo25160/2025_160-DonneesPorcins.xlsx""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2025-11-27T14:05:30.909Z\""\,\""Fichier\"":\""2025_160-InforapPorcins.pdf\""},{\""Type_de_fichier\"":\""5_FAS\""\,\""Date_chargement\"":\""2025-11-27T14:05:30.909Z\""\,\""Fichier\"":\""2025_160-DonneesPorcins.xlsx\""}]",COMPLEMENT-Irap,
IraAbo25169,"Bovins. En novembre 2025, légère hausse des abattages de gros bovins","Abattages en novembre 2025, production-consommation-commerce extérieur en octobre 2025 ","En novembre, les abattages de gros bovins augmentent légèrement, notamment ceux de vaches laitières. Le cours de la vache O diminue par rapport à octobre mais se maintient à un niveau très élevé. En octobre, le prix des intrants est en légère baisse sur un an. Les exportations de viande bovine reculent nettement tandis que les importations augmentent. La suspension des exportations de bovins vivants faisant suite à l’épizootie de DNC entraîne une chute importante des exportations de bovins d’élevage.","[{nom_auteur=Boulangeot, prenom_auteur=Cécile, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2025,BOVIN,FRANCE,2025/12/23 10:00,2025/12/23 10:00,0.1,2025/12/23 10:00,2025-169,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo25169/detail/,2,"[""2025_169-InforapBovins.pdf"", ""2025_169-DonneesBovins.xlsx""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo25169/2025_169-InforapBovins.pdf"", ""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo25169/2025_169-DonneesBovins.xlsx""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2025-12-22T17:18:12.944Z\""\,\""Fichier\"":\""2025_169-InforapBovins.pdf\""},{\""Type_de_fichier\"":\""5_FAS\""\,\""Date_chargement\"":\""2025-12-22T17:18:12.944Z\""\,\""Fichier\"":\""2025_169-DonneesBovins.xlsx\""}]",COMPLEMENT-Irap,
IraAbo25170,"Ovins. En novembre, hausse des abattages d’agneaux sur un an","Abattages en novembre 2025, production-consommation-commerce extérieur en octobre 2025 ","En novembre 2025, les abattages d’agneaux progressent sur un an mais restent nettement en retrait par rapport à la période 2020-2024. Le cours moyen de l’agneau confirme sa hausse saisonnière. En octobre 2025, le prix des intrants recule sur un an. Les importations d’agneaux vivants se replient et les exportations progressent. La consommation de viande ovine augmente, et le déficit commercial en viande ovine se réduit.","[{nom_auteur=Rouch Carrère, prenom_auteur=Marie-Hélène, Structure=SSP}]",NATIONAL,INFANIM,CAPOV,2025,OVIN,FRANCE,2025/12/23 10:00,2025/12/23 10:00,0.1,2025/12/23 10:00,2025-170,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo25170/detail/,2,"[""2025_170-InforapOvins.pdf"", ""2025_170-DonneesOvins.xlsx""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo25170/2025_170-InforapOvins.pdf"", ""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo25170/2025_170-DonneesOvins.xlsx""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2025-12-22T17:21:02.695Z\""\,\""Fichier\"":\""2025_170-InforapOvins.pdf\""},{\""Type_de_fichier\"":\""5_FAS\""\,\""Date_chargement\"":\""2025-12-22T17:21:02.695Z\""\,\""Fichier\"":\""2025_170-DonneesOvins.xlsx\""}]",COMPLEMENT-Irap,
IraAbo2610,"Bovins. En décembre 2025, les abattages de bovins reculent",Abattages en décembre 2025 production-consommation-commerce extérieur en novembre 2025,"En décembre, les abattages de bovins diminuent. Le cours de la vache O amorce un repli, même s’il reste élevé par rapport à 2024. En novembre, le prix des intrants est stable sur un an. Les exportations et les importations de viande bovine sont en nette baisse. Les exportations de bovins d’élevage connaissent un rebond après la forte baisse du mois d’octobre.","[{nom_auteur=Boulangeot, prenom_auteur=Cécile, Structure=SSP}]",NATIONAL,INFANIM,BOVIN,2025,BOVIN,FRANCE,2026/01/30 00:00,2026/01/30 11:10,0.2,2026/01/30 00:00,2026-10,https:/agreste.agriculture.gouv.fr/agreste-web/disaron/IraAbo2610/detail/,2,"[""2026_10-InforapBovins.pdf"", ""2026_10-DonneesBovins.xlsx""]","[""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo2610/2026_10-InforapBovins.pdf"", ""https://agreste.agriculture.gouv.fr/agreste-web/download/publication/publie/IraAbo2610/2026_10-DonneesBovins.xlsx""]","[{\""Type_de_fichier\"":\""2_FP\""\,\""Date_chargement\"":\""2026-01-29T15:20:16.010Z\""\,\""Fichier\"":\""2026_10-InforapBovins.pdf\""},{\""Type_de_fichier\"":\""5_FAS\""\,\""Date_chargement\"":\""2026-01-29T15:20:16.010Z\""\,\""Fichier\"":\""2026_10-DonneesBovins.xlsx\""}]",COMPLEMENT-Irap,
